Dataset,SentL,Train batch ,LR,Epochs,MR,MRR,hits@10,MR L,MR R,hits@3,hits@1
GeoLit-Long,1,32,2,5,16,0.29,0.69,24,9,0.37,0.11
GeoLit-Long,1,32,2,5,17,0.36,0.64,25,8,0.38,0.24
GeoLit-Long,1,32,2,5,29,0.21,0.48,39,19,0.27,0.06
GeoLit-Long,1,32,2,5,21,0.26,0.58,28,14,0.32,0.09
GeoLit-Long,1,32,2,5,18,0.24,0.6,25,11,0.26,0.09
GeoLit-Long,5,32,2,5,16,0.34,0.61,25,7,0.41,0.18
GeoLit-Long,5,32,2,5,16,0.4,0.64,26,6,0.44,0.28
GeoLit-Long,5,32,2,5,14,0.35,0.67,23,7,0.42,0.19
GeoLit-Long,5,32,2,5,15,0.28,0.65,23,7,0.35,0.12
GeoLit-Long,5,32,2,5,15,0.33,0.64,24,6,0.39,0.17
